question,sentence,sia_score
Something that has permeable skin that easily absorbs substances starts life where?,Wetlands are wetlands.,0.643
"What is the result of imperfect passing of heat through a metal, on that metal?","Force can either be a push force, or force can be a pull force.",0.485
Where part of a plant does the fruit come from?,Potatoes are potatoes.,0.63
where can conserving water be used for survival in?,Clouds are defined as both the clouds and the cloud shadows.,0.537
What can be used to produce heat?,SUN grey power cords SUN ISDN cables SUN LC88MM SUN LC97MM SUN misc.,0.406
All of what have a characteristic life cycle that includes alternation of descendants?,Flowers Flowers are expensive.,0.74
what is used for energy by the cells of most organisms?,"Maple products also include maple cream, maple butter, maple sugar and maple candy.",0.762
Using a gasoline engine requires doing what to gasoline?,Cooks are taught to cook.,0.46
Chromosomes contain characteristics that are within the what,Orchid Cd Rom Orchids orchid products orchid t-shirts and orchid stationery.,0.442999999999999
Model rocketry can be used to study how people are what?,A. Be able to read and enjoy the newspaper.,0.335
what can tidal energy be used to produce?,Heat is added.,0.657999999999999
How are nitrogenous wastes excreted?,Gill slits form gills in fish.,0.721
pushing on the pedals of a bike cause what?,Heart rate is to be determined with the heart rate monitor.,0.372
sex hormones are what in male and female bodies?,Remodelling and growth at sutures allows growth.,0.306
What does nitrogen do when it's heated,"Then the sun it melted, melted, melted, Then the sun it melted small, small, small.",0.869
What do birds have?,"Shelter After food and water, Shelter is the next priority.",0.35
If the state of the atmosphere is what then there is a greater chance of rain?,"Wind can cause a wind whistle, a wind rush, and a wind roar.",0.825
Fan-shaped deposits of sediment form where?,Flash Floods Floods and Flash Floods Floods and flash floods are a threat to Ohio.,0.736
The Earth being tilted on its rotating axis causes,Permineralization is another kind of fossilization.,0.48
What has skeleton made of tough tissue that contains a protein called collagen?,Animation is still animation.,0.337999999999999
what passes through materials at different speeds?,Animation is still animation.,0.39
what can only contract?,Any resistance is resistance.,0.583
What is used for detecting prey and avoiding danger by animals?,"Food Eat, eat, eat.",0.639
What reduces bacteria on a surface?,Amebiasis is contagious.,0.892
What is used for navigation?,Marine Marine batteries are expensive.,0.737
What do guitar strings do?,Nonprescription Pain Relievers - Medicines that relieve pain are called analgesics.,0.409
what part of an electric fan causes air to move?,Heat is heat.,0.634
being preserved under many layers changes vegetation into peat through extreme what?,Energy is power times time.,0.331
what flows in a circuit?,Coronary artery wall 2 Coronary artery is a muscular artery.,0.667
what is it when a gill converts from oxygen in water into oxygen in blood?,Prolactin release was significantly reduced in the Vitex group.,0.657999999999999
What does a greenhouse protect flowers from?,"Second, an injury is an injury.",0.442999999999999
What is one thing that is not bad for a habitat?,Genetic diversity is the diversity of genetic information that exists in individual organisms.,0.435
What has a circulatory system with one or two hearts that pump blood?,SUN grey power cords SUN ISDN cables SUN LC88MM SUN LC97MM SUN misc.,0.428
Misalignment problems in gaskets can be increased by:,Mechanics is mechanics is mechanics.,0.491
What can decompose a bow?,"Pure acids include propionic acid, acetic acid, citric acid, and benzoic acid.",0.648
What increases the risk of getting skin cancer?,Tobacco Find information on tobacco and smoking.,0.603
you can determine the growth rate of the forest by examining what?,Examples of tissues are muscle tissue or nerve tissue.,0.491
What is a major route of removing wastes from the body?,Burping is optional.,0.476
Bacteria causes what to be harmed?,Fossil Fossil watches are great gifts.,0.477
What do cranberries need for production?,"For example, disease, search for disease and diseases .",0.562
Where does absorption of nutrients occur?,Description of the chamber Pictured is the interior of the hyperbaric Chamber.,0.37
Metal can transfer heat to an object to make it what?,Supplies are fused with resettable fuses.,0.645
What has a positive impact on the environment?,"Green beans, green beans are so neat.",0.659
What does does the gravitational pull of the Moon on Earth's oceans cause?,T wo two two two.,0.434
Organisms use what to store energy?,"Either way, it's skins, skins, skins.",0.471
What acts as an aid to a car engine converting gasoline into motion and heat?,Nitrogen fixation adds nitrogen to the cycle.,0.667999999999999
What sort of values can a circle graph display?,And severe pain is severe pain.,0.493
where are pressure receptors mainly found?,"Stomach in, stomach out.",0.866
Crop reproduction relies on what insects?,"Ants Watch the Ant Cam, talk to an Ant Expert, or learn some ant secrets.",0.657
What has specialized reproductive organs?,Flowers Flowers are expensive.,0.547999999999999
What does movement designed to work a specific muscle or muscles do?,Heat is transferred from core areas to flippers and tail to prevent overheating.,0.516
What undergoes a movement that changes population size?,Duck is Duck.,0.879
Which of the following can explain the evolutionary part of organism's environment?,"Active and unusual galaxies, galaxy-galaxy interactions, and galaxy formation are investigated.",0.419
Some mollusks are nearly what?,"Music is touch, too.",0.313
What can live in a dormant state inside the body?,"To the ignorant, a horse is a horse is a horse.",0.354
what causes bodies of water to increase?,Nitrogen fixation adds nitrogen to the cycle.,0.87
What does blood in the veins have a lot of?,Air is air is air.,0.888
What do high pressure systems allow?,Liquids conduct heat.,0.539
What can cut off the oxygen to cells?,Hair No Hair - as often as possible Hair is a pain.,0.374
Where does sperm go after it leaves the male?,And a fetus is . . .,0.785
what is formed by deposition of sediment at the mouth of a river?,"Patch reefs are small, isolated reefs.",0.822
what is considered to be nonliving?,"Insects Come Alive in Insect Cartoons, Insect Animations, Insect Sounds, and Insect Facts.",0.617
something available in the where causes particles in itself to vibrate when snapping?,Energy is heat.,0.486
what consists of organic molecules that store energy from the sunlight,"Edibility Described as edible, but unsubstantial.",0.807
An animal will have better chances at life if it has better what?,Growth is simply growth.,0.838
What movement causes local changes to the condition of the atmosphere?,"During December, the northern hemisphere tilts away from the sun.",0.849
Floods can cause animals to do what?,Death and cause of death to be registered.,0.449
Looking at what has a negative impact on the eyes?,"Float glass, reflective glass, laminated glass, mirrored float glass.",0.537999999999999
What does decomposition increase the amount of in soil?,Manure is green-black.,0.782999999999999
What is the transmission of genes?,Waves Waves are caused by waves.,0.546
what keeps food fresh?,Carrots - Carrot fly is repelled if carrots are planted with sage or onions.,0.457999999999999
what is used for heating buildings?,All rockets generate thrust by igniting an mixture of fuel and 'oxidiser'.,0.741
What do animals lack?,Blood is blood.,0.701
Alternative instructions for a single protein are encoded on:,Red Nucleus Red nucleus is the largest nucleus in the midbrain tegmentum.,0.875
What splashing can cause harm to humans?,Flash Floods Floods and Flash Floods Floods and flash floods are a threat to Ohio.,0.895
What have explorers traditionally used to orient themselves?,Sponges wrist reviews sponges basket sponges Sponges trial Baby conquer of no sponges.,0.373
What does a plant need to live?,Air is air is air.,0.58
What do thyroid hormones increase?,Power is the rate of delivery or consumption of energy.,0.68
what do scientists study?,Tissues are then organized into the separate organs of the body.,0.617
Which situation can cause a thunderstorm?,"Since the angle of the sun changes with the seasons, the collector's angle becomes a compromise.",0.411
What can create toxic fumes?,Oil is a fossil fuel.,0.829
"A fibrod, wart and, cancer are all forms of what cell?",Fossils are the remains of prehistoric life.,0.429
What can make a river deepen and widen?,Effective Rainfall Effective rainfall is the amount of rainfall actually stored in the soil.,0.493
Ice wedging causes what to be severely damaged?,Light is light.,0.515
Sheep tend to favor the side of a mountain with more:,Across the valley on the eastside is Green Valley and Green Valley Ranch.,0.355
What prevents erosion on dunes?,Hex fibers and rectangular fibers are are ideal for fiber bundles.,0.537999999999999
What can be formed in a mountain?,"Solids are, well, solid.",0.692
"When electricity flows to a bulb, the room is seen what?",Ph.D. completed or near completion.,0.311
Why are marine fossils in the interior of a continent?,Tires wash ashore.,0.519
"When a mammal's habitat is destructed, what does it do?","By staying on designated trails and routes, critical habitats are protected.",0.897
What do mold spores have a negative impact on?,Science is science.,0.770999999999999
Coral reefs are made up of the exoskeletons of thousands of what?,"Light, easily absorbed.",0.385
a light bulb is used for seeing,Energy is heat.,0.513
Muscles require substances transported in the body by,"Fats are classified into saturated fats, monounsaturated fats and polyunsaturated fats.",0.594
eggs need to incubate to what,Winter is winter.,0.548999999999999
what is a laser used for producing?,Density Density Density Density of a system is the mass of the unit volume of the system.,0.758
hormones control many cell activities and are important to what?,Phytoplankton density is maintained as above.,0.691
Hay fever is caused by,Viruses Viruses 1.,0.685999999999999
A rainbow is formed by what of rays?,"When it rains it rains and when the sun shines, the sun shines.",0.704
Millipedes lack what?,,0.452
What helps movement?,Hair No Hair - as often as possible Hair is a pain.,0.548999999999999
what do viruses live inside the cells of?,Root cap cells detect gravity.,0.848
What can be dangerous?,Music is music is music.,0.439
What is important for the chemical equilibrium of the body?,Hydrate Error in units of hydrate parameters corrected.,0.578
what is a compass used to navigate?,Density Density Density Density of a system is the mass of the unit volume of the system.,0.444
Several plant species pollinate through what?,An example of a known gene is the gene coding for telomerase.,0.369
What do those who go out into space require for extended flights?,Vegetables Fresh vegetables are most nutritious.,0.631
the simplest of green plants have what?,"Shelter After food and water, Shelter is the next priority.",0.361
Which natural process can cause erosion?,"Wind can cause a wind whistle, a wind rush, and a wind roar.",0.642
What does the skin protect the body from?,Light seems to travel in rays or beams.,0.312
creating what requires cutting down trees,Rocks Soils Feel soil Soil in water Care of soil .,0.657999999999999
Climate is generally described in terms of temperature and what?,Matter matters materially and it matters spiritually.,0.477
injury of the lungs can be caused by what,Many pesticides are contact pesticides.,0.723
What attracts two things together,Energy is heat.,0.770999999999999
What is converted into mechanical energy when bats fly?,Sound Sound waves are mechanical waves.,0.797999999999999
What can you use to see in the dark?,Hex fibers and rectangular fibers are are ideal for fiber bundles.,0.578
Crumple means_  increases by physical force.,Mass hanger and masses are in the mass drawer.,0.327999999999999
What causes thermal expansion?,Electricity is energy.,0.721
What uses Earth 's magnetic patterns to find locations?,Cats is Cats. . .,0.715
Water and time can work together to create what?,Desertion is . . .,0.486
What can hurricanes cause a greater chance of?,Life is life is life is life.,0.875
uneven heating of the Earth 's surface causes what?,Flash Floods Floods and Flash Floods Floods and flash floods are a threat to Ohio.,0.332999999999999
If _ of a water animal or plant are found in a place then that place used to be cove,Decomposers are the organisms that break down the dead organisms.,0.711
What makes food for themselves and other organisms?,Viruses Viruses 1.,0.815
Some what are beneficial to humans?,Natural disasters are just that - natural.,0.531
"When a hemisphere is tilted towards the sun , that hemisphere receives",All energy is electromagnetic.,0.552
What lacks a centralized nervous system?,Many pesticides are contact pesticides.,0.65
Most ecosystems get energy from what in the atmosphere?,Water is everywhere H20.,0.699
Which item found in the human body is smaller?,Eyelashes are white.,0.727
"How do fine, dusty particles in the atmosphere  erupted from volcanoes lower the temperature?",Chondrosarcomas occur over a wide age range.,0.483
What determines the climate to change?,Solar energy is the energy in the sun's rays.,0.662999999999999
What type of energy does an electric stove transform electricity into?,Sound Sound waves are mechanical waves.,0.367
what needs to be scratched to measure hardness?,Poles are still the Poles.,0.535
Feathers help what kind of animals fly and provide insulation?,Butterflies in the Puelicher Butterfly Garden are tropical butterflies.,0.667
climate is the average what over a long period of time?,Lower pressure increases heat.,0.447999999999999
Where can one readily see the geologic history of an area?,Scuba Dive Travel Scuba Dive Travel is the specialty of Scuba Republic Dive Center.,0.452999999999999
What does lubrication prevent?,"Sweat dry, sweat dried, sweat dried.",0.729
What can vibrating matter cause?,Conclusion Destruction of the rainforest is a serious matter.,0.509
what does a seismograph measure?,Invertebrates have no vertebrae or backbone.,0.381
What can you scratch to measure?,"First, the bones come together, bone to bone.",0.613
How can you prevent harm caused by flea bites?,"Drinking water, that is.",0.452
What does a barometer measure?,Emphasis is on homeostasis.,0.557999999999999
A solution is formed when limestone is dissolved in what?,Sandy shores are covered in sand.,0.591
What adapt to Arctic temperatures?,"Ferns include New York fern, lady fern, hayscented fern, interrupted fern and cinnamon fern.",0.433
Some birds are pollinators that co-evolved with what organisms?,"For example, eating is a self-soothing activity.",0.528
liquid precipitation causes what?,Flash Floods Floods and Flash Floods Floods and flash floods are a threat to Ohio.,0.785
What is used to heat a building by a heating system?,Shivering heats the body.,0.657
What change is likely in a hemisphere when it is pointed away from the sun?,Cold urticaria develops in response to cold exposure.,0.679
What can be filled with precipitation that falls on land and soaks into the ground?,Contents Fields Limit Fields Stopwords Fields Highlighted fields are limit fields.,0.393999999999999
Oil is formed by layers of sediment pushing down on what?,"Mussels The most common mussel in America is the blue mussel, with a purple-black shell.",0.577
What is formed by mechanical weathering?,Ore Ore field provide 1 unit of ore a day.,0.58
what provides more sunlight to surrounding plants by falling?,Sugar is sugar.,0.708
Some viral infections live in what?,Gas exchange happens in the alveoli.,0.493
What kind of impact does zinc have on healing cuts?,Infection is caused by the bite of an infected tick.,0.59
germs that cause people to get sick contain what but not much else?,"And now CFCs Chloroflourocarbons, or CFCs, are different.",0.762
What keeps some animals alive?,Heat is heat.,0.527
A light bulb emits what when turned on?,Movement makes movement.,0.653
what does hydrogen bonds cause to expand when it freezes?,Rain is rain.,0.321
what typically travel long distances?,"Some spiders are active hunters, such as wolf spiders, jumping spiders or crab spiders.",0.895999999999999
Which tree's leaves change color in autumn,Peach palms are the preferred palm for palm hearts.,0.9
what has a positive impact on plants,Global Warming Global warming is no game.,0.619
"Predators require something else to make food, which means they are not:","Humans Humans are, well, humans.",0.892
What does slowing the growth of bacteria do for a food?,Sex to keep warm in the winter.,0.504
how do the young of small fishlike animals with tapered bodies move?,"Day and night, walk, walk, walk, walk.",0.484
Intelligence is primarily encoded in what?,Man is man is man.,0.611
what makes water stick together?,CO 2 fixation is the attachment of CO 2 to an organic compound.,0.79
Flowing water from a mountain can dissolve carbon in what kind of rock?,Magma Derricks Magma Derricks Magma derricks are large towers of metal scaffolding.,0.353
what converts wind energy into electricity,"After all, batteries are batteries are batteries.",0.706
Some what with feathers are pollinators?,"Common solitary bees are mason bees, plasterer bees, digger bees, sweat bees and carpenter bees.",0.746
How do we determine the probability of receiving more water than a body can hold?,Energy usage is low.,0.511
What does pressure cause?,"Hyperthyroidism - Explanation of hyperthyroidism, illustrated.",0.867
what do biologists use a microscope to see by making them appear bigger?,Sea otters eat sea urchins and sea urchins eat kelp.,0.824
Fires with good air circulation will what?,"For frag counting, a kill is a kill is a kill.",0.491
What do animals require to move?,"For emergency shelter, see Shelters .",0.899
Electron flow allows a battery to do what?,Matter vibrates at a slower resonance.,0.888
what causes food to taste sweet?,Cakes take the cake.,0.792999999999999
Children see better with a source of electricity to do what?,More of the hormone is produced in the dark.,0.764
What can measure the force of air against a unit of area?,Speedometer drive is standard.,0.869
what do snowmelts feed?,"First there is a mountain, then there is no mountain, then there is .",0.478
how do animals keep cool?,Forces and Fluids Forces and Fluids Fluids can flow .,0.601
Female parents of what produce eggs inside the ovaries of flowers?,Marine mammals Marine mammals are related to land mammals.,0.868
what state is a liquid in when frozen?,"Boil, boil, boil the soup.",0.537999999999999
"Earthworm burrows help aerate soil, which is essential for what?","Shelter After food and water, Shelter is the next priority.",0.795999999999999
What would a turning blade cause?,Insecticides kill insects.,0.318
What requires energy for growth?,Blue in pigeons is recessive to red in pigeons.,0.697
"Protective, supportive environments are used by animals against what?",Reproduction asexual reproduction is rare.,0.880999999999999
What does frozen water break?,"River system is composed of Liu River, Yanximo River, Raoyang River and Xiushui River.",0.319
What happens when the muscle is stretched while fibers are shorter?,Particle abrasion is sometimes called air abrasion.,0.469
vein deposits of gold and silver are formed where?,"Loose soil, saline.",0.667
Weigh lifting requires muscles,Vegetable Shortening Vegetable shortening refers to solid vegetable shortening.,0.754
Amphibians have what sort of sensing system?,Heat and cold are the opposite.,0.416
what type of location can water be conserved to help survival?,Params stream is the stream reference of the stream to close.,0.562
what habitats are replaced when building housing developments?,All sea creatures rely on other sea creatures for food to survive.,0.893
What can cause Mad Cow?,"Birth is ill, decay is ill, sickness is ill, death is ill.",0.827
What do ribosomes contain?,And a neutron star is tiny tiny tiny.,0.402
What do viruses contain?,"Sea ice includes grease ice, frazil ice, pancake ice and pack ice.",0.322
What can increase how fast an object is moving?,Wider kicks increase drag.,0.602
What can better dissolve nutrients and oxygen?,Rafts Oar rafts are the workhorses of a trip.,0.426
What are immobile?,"Humans Humans are, well, humans.",0.749
What do flooding rivers help plants do?,Light widens Light widens.,0.594
What are clouds made of?,Water is water is water is life.,0.863
Gravity pulls objects towards what?,"Chemically, oxygen is oxygen.",0.457
What causes the chemical disintigration of rocks.,Sodium dichromate Sodium oxalate Sodium hydrogen carbonate Sodium acetate 20.,0.819
What can have special excretory systems?,Feces See abortion.,0.797
Using cell phones can cause people to become what?,"When that ability is threatened, democracy is threatened.",0.772
what does condensation alter?,Rain is rain.,0.519
what uses unsaturated fatty acids to store energy,Volume communicates volumes.,0.489
What is one way animals learn to behave?,"Matters Exercise Has Many Benefits Exercise, exercise, exercise.",0.699
what intends to cause harm or pain,An object is an object is an object is.,0.645999999999999
What can cause metal to become orange on the surface?,Friction wind encounters friction with the surface.,0.627
ats and proteins can be used for energy by the cells of what?,Most ingredients are organic.,0.892
Keeping food cold prevents,smoking causes direct damage to the lungs,0.744
What is used by spiders to capture insects?,Electricity is electricity.,0.650999999999999
In what way does a catalyst help in chemical reactions?,Heat is transferred from core areas to flippers and tail to prevent overheating.,0.544
"What being tilted on its rotating axis causes spring, summer, autumn, and winter.","Mild symptoms begin as a mild headache, decreased appetite, mild nausea, and malaise.",0.301
Animals with better what have a positive chance of reproduction?,Standards are standards.,0.61
Fire converts energy into something people use for what?,"Matters Exercise Has Many Benefits Exercise, exercise, exercise.",0.431
What do glaciers create?,Oil is oil.,0.553999999999999
What does biodiversity do towards the poles?,Bias decreases with decreasing redshift.,0.898
Blowing air into what causes air to move inside it?,"Plastic laminate, solid phenolic plastic and solid polymer partitions are acceptable.",0.306
What can heavy rains damage?,Home is home sweet home.,0.894
A long tail can be used to do what?,"PAGE TOP Interstudy reproducibility CMR is very reproducible, with a low interstudy reproducibility.",0.542999999999999
An allergy can be caused by,"Sometimes the candle makes little smokes - smokee, smokee, smokee.",0.357
What is used for navigation?,More details on the seismometer are provided in the seismometer description.,0.709
What causes ice to expand as it is formed?,"Electricity produces heat, heat produces electricity.",0.626
what are clouds formed from?,"Boil, boil, boil the soup.",0.393999999999999
What be caused by some viruses?,Each death is devastating.,0.675
what often requires pollen to reproduce?,"Seed 6 plays at seed 3, and seed 5 plays at seed 4.",0.35
What does an object made of stainless steel have the properties of?,Mechanics is mechanics is mechanics.,0.665999999999999
Light enters the eye through an opening that is what to light and accommodation?,Inorganic Salts Inorganic salts dissolved in water.,0.398999999999999
Proprioceptive functions sense and maintain what?,Gasoline is defined to include gasoline and gasoline blendstocks.,0.306
what can touch be used to detect?,"Either way, it's skins, skins, skins.",0.382999999999999
Contact between solid mineral deposits over long periods of what causes them to smooth,"Pins and needles rust and bend, Rust and bend, rust and bend.",0.576
Which of the following can cause cancer?,"Severe malnutrition is eliminated, and moderate malnutrition halved.",0.765
Female parents of what produce eggs inside the ovaries of flowers?,Orchid Cd Rom Orchids orchid products orchid t-shirts and orchid stationery.,0.44
What does the climate influence?,"Stars O stars are hot, massive stars.",0.758
What do gymnosperms use to reproduce?,CO 2 fixation is the attachment of CO 2 to an organic compound.,0.35
Why do ducks move faster through water?,Diet - Most reptiles illnesses are due to improper husbandry or diet.,0.655
E.Coli poisoning can come from what?,"Either way, it's skins, skins, skins.",0.497
What generally don't have to deal with extremes of temperature or moisture?,"Ferns include New York fern, lady fern, hayscented fern, interrupted fern and cinnamon fern.",0.386
A possible downside of driving a car is,Greenhouse gasses hold in heat.,0.413
what does electrocution cause harm to?,"To move cells, select the cell or cells.",0.888
What forms sedimentary rocks?,"Ch 4, shell over shell, shell over shell.",0.499
Running water is better able to dissolve oxygen and nutrients than what?,Arteries and veins are sewn to the arteries and veins of the organ.,0.551
The thing that cools the body contains what?,Kelty vapors mill kelty vapors kelty vapors border Success won upon most kelty vapors.,0.366
What is formed when water vapor condenses in the air?,Skies are clear.,0.477
"What wets the skin, and when it evaporates, it cools the body?",Air Conditioner - Plants act like air conditioners.,0.493
Some deuterostomes lack a centralized what?,DNA DNA DNA is a person's genetic fingerprint.,0.496
What can be used as an alternative fuel?,Toyota and all Toyota symbols are registered trademarks of the Toyota corporation.,0.306
How can we reduce resources in making products?,Energy is power times time.,0.636
what can zinc have a positive impact on?,Heart rate is to be determined with the heart rate monitor.,0.573
What does not have to deal with extremes of temperature or moisture?,Paramecium Paramecium species viewed through transmitted polarised light.,0.777
What are oil and gasoline formed from?,Water was then added and the mixture was heated.,0.726
Thyroid hormones increase the rate of what in cells?,Chemical Energy- chemical energy is stored in matter.,0.9
Animals require plants to what?,"PAGE TOP Interstudy reproducibility CMR is very reproducible, with a low interstudy reproducibility.",0.604
What can be used for separating a solute from a solvent in a solution?,Copper tubing is copper tubing is copper tubing.,0.47
What does fanning a fire increase?,Electron current is the flow of electrons.,0.574
what does extreme heat and pressure change rock into?,Manganoan Calcite Manganoan Calcite Calcite containing a small amount of manganese is pink.,0.822
what conserves body heat with their hair?,Clouds are defined as both the clouds and the cloud shadows.,0.407
What are smaller bodies of water?,"Loose soil, saline.",0.892
What happens when fans circulate more air?,Heat Production Factors Heat production is increased by burning fuel.,0.739
What do flashlights require to produce light?,Circuits are just nested in circuits.,0.643
What can cause serious problems for production agriculture?,"Pure acids include propionic acid, acetic acid, citric acid, and benzoic acid.",0.568
Shock protection can prevent what to an organism?,Insulation is insulation and more insulation equals more insulation.,0.728
Vesicle transport requires energy and a what?,Activity is activity.,0.890999999999999
"what influence plant growth, biodiversity, and adaptations of land organisms?",High temperature superconductors are superconductors that superconduct at high temperatures.,0.409
What stays the same when an item is made of a material?,Kinetic Energy Kinetic Energy Kinetic energy is energy of motion.,0.601
What phylum do starfish belong to?,"Light, easily absorbed.",0.519
What does potassium help an animal do?,Bad garbage grows and grows and grows.,0.809
What happens to the mass of an object when exerted by the object?,Kinetic Energy Kinetic Energy Kinetic energy is energy of motion.,0.816
What do biologists study?,Thermodynamics is the study of energy.,0.608
Humans can be protected with,Hydrate Error in units of hydrate parameters corrected.,0.557999999999999
Cells what as well as shape is related to their forms and functions,Host to host.,0.631
Where is BRCA2 located?,"Eyes, eyes , eyes are the focus.",0.569
What do the average number of individuals per unit of area or volume affect?,"For animals, it is species survival.",0.856
the movement what over Earth 's surface causes local weather changes,Lava Tubes Lava tubes are the pathways that lava travels downslope.,0.667999999999999
Polyps do not use:,Electricity is energy.,0.45
A seismometer measures the what of the shaking of earthquakes?,Major side effects are flatulence.,0.609
Reduced water supply occurs when what amounts decrease?,Winter is winter.,0.733
Although different life stages what lviing organism goes through a alternation of generation?,Flowers Flowers are expensive.,0.475
What converts electrical energy into light energy when it is turned on?,Hair Dryer Rick's hair dryer has a bad short in it.,0.391
What can planting trees reduce?,Competition is anti-competitive.,0.563
What can happen when a body of water receives more water then it can hold?,"If they freeze, the top always freezes first.",0.509
Black sand can do what to the sun?,Lives are saved.,0.412
Cranberries cause what environmental effect?,Climate Climate Georgian climate is extremely versatile.,0.785
Behaviors can be learned through what?,Competition is anti-competitive.,0.708
An electron microscope is used for seeing things what?,"If photon dead, then launch new photon.",0.814
How do we track canyon changes?,"Everything is slow, slow, slow.",0.657999999999999
What happens to the body without oxygen?,Pain is pain is pain.,0.662
antibodies are produced by activated B cells that do what?,"PAGE TOP Interstudy reproducibility CMR is very reproducible, with a low interstudy reproducibility.",0.579
lack of _  causes low amounts of rainfall,"Chemically, oxygen is oxygen.",0.782999999999999
What kind of animal can live in large colonies and have complex behaviors?,Because a fish is a fish is a fish.,0.895
what is fertilized to produce a diploid zygote?,Peachleaf willow is a deciduous tree.,0.312
what uses lipids to store energy?,Cats is Cats. . .,0.762
What object can prevent harm to humans?,"To move cells, select the cell or cells.",0.638
what do carcinogens cause mutations in?,Intensive properties are fundamental properties of the material.,0.636
Aging is associated with degrading:,Vegetable Shortening Vegetable shortening refers to solid vegetable shortening.,0.469
What can sunglasses protect against?,Lets look for newspapers.,0.372
What causes rain?,Liquids conduct heat.,0.708
What computer component can you use to measure time?,Quantity Size Size 5 Size 6 Size 7 Size 8 Please select a size above.,0.729
what can some genes be?,"Organizations are complex, people are complex, and change is complex.",0.625
what detects and responds to the daily cycle of light and darkness?,Earth Rotations Consider first Earth rotations.,0.392
What makes temperature vary?,"Spring fever- sexual fever, that is.",0.770999999999999
A woman's reproductive years usually ends at what stage of life?,And age-old it is.,0.488
What can heating a liquid cause?,Slime knows slime.,0.611
What is required to measure the hardness of a pearl?,Potassium Strawberries are rich in potassium.,0.463999999999999
"what environments contain thick, slimy mucus?",Gravity is always gravity.,0.579
Droplets of water are formed when water vapor does what over night?,Heat wax until liquified.,0.583
What uses playing as just one of many ways to learn how to behave?,And sharks are sharks.,0.542999999999999
What is important for the chemical equilibrium of the body?,Glucose fungus takes glucose to manitol.,0.797999999999999
What occurs over geologic time above the level of the species.,Wind erosion is dominant.,0.332
Brain cells die quickly if their what supply is cut off,"Staff was cut, cut, and cut again.",0.869
Looking the sun has a what impact on the eyes?,"Dangerous because sex is dangerous, desire is dangerous, life is dangerous.",0.484
What lack a vertebral column?,"Humans Humans are, well, humans.",0.787
What can be learned through play?,"Matters Exercise Has Many Benefits Exercise, exercise, exercise.",0.57
what is added to propane to change it through the boiling process,SO2 SO2 emissions originate from the non-renewable resources and from chemicals.,0.812
A cactus stem stores what?,RNA replicase An alternative term for RNA-dependent RNA polymerase .,0.687
What is a health benefit you receive for being outside?,Just outside the prostate is a layer of fat.,0.665
What rely on vision for long-distance orientation?,"Site provide info on alpacas, alpaca events, farms of members, and a list of alpacas.",0.523
What does a mirror reflect?,Sound Sound waves are mechanical waves.,0.637
what is satellite technology used for predicting?,"Glaciers are made of snow, ice and rock.",0.409
Why does a snake look for shelter in the winter?,Hydrate Error in units of hydrate parameters corrected.,0.377999999999999
sites where proteins are made consist of RNA and what?,"Pure acids include propionic acid, acetic acid, citric acid, and benzoic acid.",0.565
Different species such as what take up in the wetlands?,Plant plants 4.,0.764
what have humans collected and grown for food for thousands of years?,"Most plantings are mature, established plantings or new plantings.",0.566
Where does prey go to hide?,Wine is a living body.,0.467999999999999
What is essential to all living organisms?,"Well, along with the poisoned soil there is poisoned air, and poisoned water.",0.688
What causes pollution?,Chemical oceanographers study the chemicals and chemical compounds in the oceans.,0.76
What can be used to measure seconds?,Second The Second argument is the second as a string or integer.,0.541
What is formed when calcite is dissolved?,"Solutions There are, however, solutions.",0.682
What can most humans only survive a few days without?,Sex is sex.,0.418
What might cause animals to leave their environment?,"Force can either be a push force, or force can be a pull force.",0.422
"if a species is rare, harm to it's population increases or decreases?",Pornography stays the same.,0.386
who can change ecosystems drastically?,Lynx Lynx a terminalinterface to WWW is installed.,0.319
What did the dinosaur group dromaeosaurs evolve into?,Fossil Fossil watches are great gifts.,0.828
What can develop into new haploid individuals without being fertilized?,"Most plantings are mature, established plantings or new plantings.",0.544
What can help repair cells in the human body?,"Dust, dust, dust, that's Calcutta.",0.449
heavy rains cause waters to what?,"When that ability is threatened, democracy is threatened.",0.476
Mammals require what for breathing?,Water is water is water is life.,0.805999999999999
Substances found where are chemical elements that are essential for body processes?,Water or Bike Bottles Bottled water bottles are the in thing.,0.425
A person is what without cellular respiration?,Pause to breathe deeply.,0.787
What can be used to keep warm?,"Food and Cooking Book on food, drink, and cooking.",0.373
viruses infect and live inside the cells of what?,Man is man is man.,0.532
Faulting of rock in Earth 's crust causes what?,For death is the lot of all human beings.,0.32
What can be used to measure what it will be like out?,Sun's heat it is.,0.866
have a circulatory system with one or two hearts,White Elm White Elm White elm is a favourite ornamental tree.,0.43
Crumple means_  increases by physical force.,"For mac, use stuffit expander to expand.",0.382
Eye color is determined by information found in,"Telescopes have two pupils, an entrance pupil and an exit pupil.",0.718
What do animals do when forest roads add to the erosion of their home?,Damage is enormous.,0.745
What can smoking tobacco cause?,"For example, disease, search for disease and diseases .",0.854
What does a scale measure?,SBF magnitudes are magnitudes in the filter.,0.717
Many believe the cause of smallpox to be what?,"Dangerous because sex is dangerous, desire is dangerous, life is dangerous.",0.455
Most mammals have a body what for keeping warm?,Cloud Cover Cloud Cover Cloud cover is the amount of sky covered by clouds.,0.427
What harms the respiratory and circulatory systems?,Tar - A tar is a string.,0.54
what can be used to feel heat and pressure on the skin?,Joules - A joule rating is a unit of energy.,0.408
